property_type,society,sector,price,price_per_sqrft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,price_per_sqft,coordinates,latitude,longitude
flat,la vida by tata housing,sector 113,2.45,11050.0,3,3,3,3.0,Relatively New,1890.0,1,0,0,0,0,1,174,11051.0,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,m3m heights,sector 65,3.0,18000.0,3,3,3,20.0,Under Construction,1667.0,0,0,0,0,0,1,60,17996.0,"28.4030° N, 77.0690° E",28.403,77.069
flat,tulip violet,sector 69,1.4,8856.0,3,3,2,9.0,Relatively New,1428.0,0,0,0,1,0,1,120,8855.0,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,smart world gems,sector 89,1.2,8432.0,3,3,2,2.0,New Property,1581.0,0,0,0,0,0,1,44,8433.0,"28.4253° N, 76.9439° E",28.4253,76.9439
house,eros rosewood city★,sector 49,3.75,22046.0,3,3,1,2.0,Old Property,1701.0,0,0,0,1,0,2,6,22046.0,"28.4121° N, 77.0480° E",28.4121,77.048
flat,emaar mgf emerald floors premier,sector 65,2.36,14303.0,3,3,3,0.0,Relatively New,1493.0,1,1,0,0,0,2,159,14303.0,"28.4030° N, 77.0690° E",28.403,77.069
flat,paras dews,sector 106,1.2,11605.0,3,3,3,12.0,Relatively New,1145.0,1,0,0,0,0,1,158,11605.0,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,ats kocoon,sector 109,2.15,10262.0,3,4,3,9.0,Relatively New,1896.0,0,1,0,0,0,1,97,10263.0,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,paras dews,sector 106,1.25,10656.0,3,4,3,14.0,Relatively New,1305.0,1,1,0,0,0,1,167,10656.0,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,shapoorji pallonji joyville gurugram,sector 102,1.24,10205.0,2,2,2,10.0,Relatively New,1100.0,0,0,0,0,0,1,141,10206.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,signature andour heights,sector 71,0.59,8428.0,2,2,1,6.0,Moderately Old,639.0,0,0,0,0,0,1,67,8429.0,"28.4104° N, 77.0281° E",28.4104,77.0281
flat,hsiidc sidco shivalik apartments,sector 1,0.85,5102.0,3,2,2,5.0,Moderately Old,1508.0,0,0,0,0,0,1,0,5102.0,"28.3663° N, 76.9456° E",28.3663,76.9456
house,independent,sector 11,1.2,4444.0,7,3,0,3.0,Moderately Old,300.0,0,0,0,0,0,1,0,4444.0,"28.4531° N, 77.0202° E",28.4531,77.0202
house,project housing board colony,sector 28,2.58,17695.0,4,2,2,2.0,Moderately Old,1458.0,0,0,0,0,0,1,0,17695.0,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,adarsh nagar,sector 12,0.65,6190.0,3,3,1,1.0,New Property,1167.0,0,0,0,0,0,2,42,6190.0,"28.4723° N, 77.0320° E",28.4723,77.032
flat,tashee capital gateway,sector 111,0.96,6500.0,2,2,1,4.0,Relatively New,1338.0,1,0,0,0,0,1,53,6500.0,"28.5238° N, 77.0320° E",28.5238,77.032
flat,adani m2k oyster grande,sector 102,2.6,10007.0,3,3,3,2.0,Relatively New,2351.0,1,1,1,0,0,1,118,10008.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,shapoorji pallonji joyville gurugram,sector 102,1.8,10638.0,3,3,3,5.0,Relatively New,1531.0,0,0,0,0,0,1,49,10638.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,greenopolis,sector 89,0.65,5195.0,2,2,2,15.0,New Property,1390.0,0,0,0,0,0,1,37,5196.0,"28.4253° N, 76.9439° E",28.4253,76.9439
house,independent,sector 4,46.75,10601.0,2,2,1,2.0,New Property,44100.0,1,0,0,0,0,2,73,10601.0,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,emaar mgf emerald floors premier,sector 65,2.25,13636.0,3,3,3,3.0,Relatively New,1600.0,1,1,0,0,0,2,49,13636.0,"28.4030° N, 77.0690° E",28.403,77.069
flat,bestech park view grand spa,sector 81,4.2,10000.0,4,4,3,25.0,Relatively New,3512.0,0,1,0,0,0,2,90,10000.0,"28.3867° N, 76.9485° E",28.3867,76.9485
house,independent,sector 6,75.0,10518.0,6,4,1,3.0,Moderately Old,71306.0,0,0,0,0,0,1,62,10518.0,"28.4745° N, 77.0262° E",28.4745,77.0262
flat,dlf regal gardens,sector 90,1.25,5931.0,3,3,3,18.0,Relatively New,1557.0,0,0,0,0,1,1,72,5930.0,"28.4085° N, 76.9369° E",28.4085,76.9369
house,unitech espace,sector 50,9.8,30247.0,4,4,3,2.0,Moderately Old,3240.0,0,1,0,0,0,1,22,30247.0,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,ramprastha the edge towers,sector 37,0.98,5536.0,3,3,3,5.0,Relatively New,1675.0,0,0,0,1,0,1,174,5537.0,"28.4375° N, 76.9999° E",28.4375,76.9999
